time_s,rollAccelerationCommand_rps2,measuredRollRate_rps,rollAttitudeCommand_rad,measuredRollAttitude_rad
0,0,6.578294e-06,0,0
0.01,0,1.070137e-05,0,0
0.02,0,9.219219e-06,0,0
0.03,0,1.143925e-05,0,0
0.04,0,1.177737e-05,0,0
0.05,0,1.110634e-05,0,0
0.06,0,9.516378e-06,0,0
0.07,0,9.753828e-06,0,0
0.08,0,1.075018e-05,0,0
0.09,0,1.118499e-05,0,0
0.1,0,1.206724e-05,0,0
0.11,0,1.292441e-05,0,0
0.12,0,1.268392e-05,0,0
0.13,0,1.484826e-05,0,0
0.14,0,1.395388e-05,0,0
0.15,0,1.028532e-05,0,0
0.16,0,7.612553e-06,0,0
0.17,0,1.074321e-05,0,0
0.18,0,1.000005e-05,0,0
0.19,0,8.340901e-06,0,0
0.2,0,6.891569e-06,0,0
0.21,0,5.60176e-06,0,0
0.22,0,4.767187e-06,0,0
0.23,0,3.917856e-06,0,0
0.24,0,3.548331e-06,0,0
0.25,0,6.12426e-06,0,0
0.26,0,6.251048e-06,0,0
0.27,0,8.460539e-06,0,0
0.28,0,9.790202e-06,0,0
0.29,0,1.036963e-05,0,0
0.3,0,9.355906e-06,0,0
0.31,0,8.561065e-06,0,0
0.32,0,8.154391e-06,0,0
0.33,0,5.97734e-06,0,0
0.34,0,9.684972e-06,0,0
0.35,0,1.139183e-05,0,0
0.36,0,1.021997e-05,0,0
0.37,0,8.530615e-06,0,0
0.38,0,8.268198e-06,0,0
0.39,0,9.570927e-06,0,0
0.4,0,9.104388e-06,0,0
0.41,0,6.879322e-06,0,0
0.42,0,5.301986e-06,0,0
0.43,0,5.253259e-06,0,0
0.44,0,7.261682e-06,0,0
0.45,0,7.175759e-06,0,0
0.46,0,8.7687e-06,0,0
0.47,0,7.86543e-06,0,0
0.48,0,7.819216e-06,0,0
0.49,0,8.059314e-06,0,0
0.5,0,5.226854e-06,0,0
0.51,0,1.302896e-06,0,0
0.52,0,1.993572e-06,0,0
0.53,0,1.728882e-06,0,0
0.54,0,3.744946e-06,0,0
0.55,0,3.633657e-06,0,0
0.56,0,2.948142e-06,0,0
0.57,0,2.023913e-06,0,0
0.58,0,3.150126e-06,0,0
0.59,0,4.016735e-06,0,0
0.6,0,5.502317e-06,0,0
0.61,0,8.88432e-06,0,0
0.62,0,9.937313e-06,0,0
0.63,0,6.979644e-06,0,0
0.64,0,7.21025e-06,0,0
0.65,0,9.801695e-06,0,0
0.66,0,8.079086e-06,0,0
0.67,0,8.036668e-06,0,0
0.68,0,5.447436e-06,0,0
0.69,0,6.095753e-06,0,0
0.7,0,5.262818e-06,0,0
0.71,0,2.573016e-06,0,0
0.72,0,3.540495e-06,0,0
0.73,0,7.219616e-06,0,0
0.74,0,8.332113e-06,0,0
0.75,0,8.029028e-06,0,0
0.76,0,1.337037e-05,0,0
0.77,0,1.221337e-05,0,0
0.78,0,1.413511e-05,0,0
0.79,0,1.54569e-05,0,0
0.8,0,1.676396e-05,0,0
0.81,0,1.689798e-05,0,0
0.82,0,1.455436e-05,0,0
0.83,0,1.57212e-05,0,0
0.84,0,1.611746e-05,0,0
0.85,0,1.368599e-05,0,0
0.86,0,1.854887e-05,0,0
0.87,0,2.128506e-05,0,0
0.88,0,2.13819e-05,0,0
0.89,0,1.943537e-05,0,0
0.9,0,1.839495e-05,0,0
0.91,0,1.789724e-05,0,0
0.92,0,1.791361e-05,0,0
0.93,0,1.646613e-05,0,0
0.94,0,1.496555e-05,0,0
0.95,0,1.412188e-05,0,0
0.96,0,1.260574e-05,0,0
0.97,0,1.46533e-05,0,0
0.98,0,1.311829e-05,0,0
0.99,0,1.423855e-05,0,0
1,0,1.799978e-05,0,0
1.01,0,1.640074e-05,0,0
1.02,0,1.730654e-05,0,0
1.03,0,1.627854e-05,0,0
1.04,0,1.589844e-05,0,0
1.05,0,1.356235e-05,0,0
1.06,0,1.663474e-05,0,0
1.07,0,1.683557e-05,0,0
1.08,0,1.664898e-05,0,0
1.09,0,1.670053e-05,0,0
1.1,0,1.647822e-05,0,0
1.11,0,1.469375e-05,0,0
1.12,0,1.452718e-05,0,0
1.13,0,1.638709e-05,0,0
1.14,0,2.011072e-05,0,0
1.15,0,2.026817e-05,0,0
1.16,0,1.612653e-05,0,0
1.17,0,1.863084e-05,0,0
1.18,0,1.84494e-05,0,0
1.19,0,2.082814e-05,0,0
1.2,0,2.252311e-05,0,0
1.21,0,2.232685e-05,0,0
1.22,0,2.093733e-05,0,0
1.23,0,2.336261e-05,0,0
1.24,0,2.199503e-05,0,0
1.25,0,2.093663e-05,0,0
1.26,0,2.26914e-05,0,0
1.27,0,2.339346e-05,0,0
1.28,0,2.068928e-05,0,0
1.29,0,2.040848e-05,0,0
1.3,0,2.019785e-05,0,0
1.31,0,1.999202e-05,0,0
1.32,0,2.065144e-05,0,0
1.33,0,1.826461e-05,0,0
1.34,0,1.755223e-05,0,0
1.35,0,1.516977e-05,0,0
1.36,0,1.651003e-05,0,0
1.37,0,1.859692e-05,0,0
1.38,0,1.82784e-05,0,0
1.39,0,1.894067e-05,0,0
1.4,0,2.015349e-05,0,0
1.41,0,2.100166e-05,0,0
1.42,0,2.203183e-05,0,0
